Address,Signal Strength
da:a1:19:7c:22:2b,-98
b4:6b:fc:02:77:e0,-98
a2:c2:32:14:d4:b2,-98
a2:c2:32:14:d4:b2,-98
a2:c2:32:14:d4:b2,-98
30:74:96:e2:25:01,-74
30:74:96:e2:25:01,-74
30:74:96:e2:25:01,-62
30:74:96:e2:25:01,-60
dc:53:60:9e:76:e0,-98
30:74:96:e2:25:01,-34
30:74:96:e2:25:01,-34
30:74:96:e2:25:01,-28
30:74:96:e2:25:01,-28
30:74:96:e2:25:01,-28
30:74:96:e2:25:01,-28
30:74:96:e2:25:01,-34
30:74:96:e2:25:01,-34
30:74:96:e2:25:01,-40
e8:2a:ea:49:83:1a,-98
e8:2a:ea:49:83:1a,-74
e8:2a:ea:49:83:1a,-74
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-94
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-72
48:f1:7f:64:69:9b,-74
00:28:f8:3f:cc:8a,-44
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-56
1a:92:64:27:d4:3b,-98
1a:92:64:27:d4:3b,-98
f2:80:ba:00:8a:86,-98
26:c0:b6:38:f7:67,-98
ea:41:06:b3:b1:a8,-98
ea:41:06:b3:b1:a8,-98
ea:41:06:b3:b1:a8,-98
ea:41:06:b3:b1:a8,-98
de:aa:5a:b3:52:38,-98
de:aa:5a:b3:52:38,-98
de:aa:5a:b3:52:38,-98
e8:2a:ea:49:83:1a,-74
e8:2a:ea:49:83:1a,-74
dc:53:60:9e:76:e0,-98
dc:53:60:9e:76:e0,-98
dc:53:60:9e:76:e0,-74
96:b3:17:6e:fa:ad,-98
96:b3:17:6e:fa:ad,-74
dc:53:60:9e:76:e0,-96
96:b3:17:6e:fa:ad,-74
96:b3:17:6e:fa:ad,-74
4a:1b:87:ff:ad:e6,-98
4a:1b:87:ff:ad:e6,-80
4a:1b:87:ff:ad:e6,-74
4a:1b:87:ff:ad:e6,-74
4a:1b:87:ff:ad:e6,-76
ee:c5:9e:d4:fe:0e,-98
4a:1b:87:ff:ad:e6,-84
4a:1b:87:ff:ad:e6,-98
00:28:f8:3f:cc:8a,-56
00:28:f8:3f:cc:8a,-48
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-68
0a:58:c7:47:ed:5f,-88
0a:58:c7:47:ed:5f,-98
0a:58:c7:47:ed:5f,-74
0a:58:c7:47:ed:5f,-88
0a:58:c7:47:ed:5f,-74
0a:58:c7:47:ed:5f,-96
44:18:fd:73:cd:5c,-98
44:18:fd:73:cd:5c,-98
44:18:fd:73:cd:5c,-96
76:e9:79:7f:e4:9e,-98
3c:2e:ff:aa:9b:cb,-80
3c:2e:ff:aa:9b:cb,-76
3c:2e:ff:aa:9b:cb,-74
3c:2e:ff:aa:9b:cb,-74
3c:2e:ff:aa:9b:cb,-74
3c:2e:ff:aa:9b:cb,-72
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
d4:d2:52:e8:07:88,-56
22:b5:49:c0:75:26,-98
22:b5:49:c0:75:26,-98
d4:d2:52:e8:07:88,-68
d4:d2:52:e8:07:88,-56
d4:d2:52:e8:07:88,-62
6a:fa:62:cb:4a:38,-82
6a:fa:62:cb:4a:38,-74
6a:fa:62:cb:4a:38,-74
6a:fa:62:cb:4a:38,-72
6a:fa:62:cb:4a:38,-74
96:c3:cb:fc:87:97,-98
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-68
dc:53:60:9e:76:e0,-72
e8:2a:ea:49:83:1a,-78
e8:2a:ea:49:83:1a,-74
e8:2a:ea:49:83:1a,-74
58:fb:84:59:a7:18,-98
da:a1:19:d4:c5:09,-72
da:a1:19:d4:c5:09,-74
da:a1:19:d4:c5:09,-98
da:a1:19:d4:c5:09,-74
da:a1:19:d4:c5:09,-96
26:eb:bd:52:a7:54,-98
b8:7b:c5:7a:fd:47,-98
00:28:f8:3f:cc:8a,-50
b8:7b:c5:7a:fd:47,-98
00:28:f8:3f:cc:8a,-42
00:28:f8:3f:cc:8a,-38
00:28:f8:3f:cc:8a,-50
58:fb:84:59:a7:18,-96
60:36:dd:96:86:8d,-96
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-74
12:54:4a:1b:16:f3,-94
12:54:4a:1b:16:f3,-88
f2:58:0c:cd:a1:52,-98
f2:58:0c:cd:a1:52,-74
fe:fd:7a:7f:53:95,-98
fe:fd:7a:7f:53:95,-88
fe:fd:7a:7f:53:95,-74
fe:fd:7a:7f:53:95,-88
ce:22:4b:31:e3:82,-98
ce:22:4b:31:e3:82,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
24:41:8c:76:0a:6b,-98
24:41:8c:76:0a:6b,-98
26:df:f6:df:37:9b,-98
e6:dd:bb:6a:11:f5,-98
dc:53:60:9e:76:e0,-80
e6:dd:bb:6a:11:f5,-96
dc:53:60:9e:76:e0,-74
e6:dd:bb:6a:11:f5,-98
e6:dd:bb:6a:11:f5,-74
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-98
e6:dd:bb:6a:11:f5,-96
26:df:f6:df:37:9b,-72
26:df:f6:df:37:9b,-74
26:df:f6:df:37:9b,-74
e8:2a:ea:49:83:1a,-98
e8:2a:ea:49:83:1a,-98
d6:c7:c1:52:f2:6d,-82
d6:c7:c1:52:f2:6d,-76
d6:c7:c1:52:f2:6d,-98
d6:c7:c1:52:f2:6d,-98
d6:c7:c1:52:f2:6d,-90
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-72
d6:c7:c1:52:f2:6d,-72
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-74
d6:c7:c1:52:f2:6d,-74
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-58
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-48
00:28:f8:3f:cc:8a,-56
9a:25:a9:ae:37:33,-98
9a:25:a9:ae:37:33,-96
9a:25:a9:ae:37:33,-98
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-96
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-74
3c:2e:ff:aa:9b:cb,-98
b8:f1:2a:47:39:0a,-98
b8:f1:2a:47:39:0a,-98
40:83:1d:10:08:80,-56
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-44
40:83:1d:10:08:80,-48
40:83:1d:10:08:80,-40
fe:4a:52:43:80:0e,-98
fe:4a:52:43:80:0e,-98
40:83:1d:10:08:80,-44
40:83:1d:10:08:80,-38
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-44
72:f5:44:f7:2c:ce,-98
72:f5:44:f7:2c:ce,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
e6:dd:bb:6a:11:f5,-98
e6:dd:bb:6a:11:f5,-98
e6:dd:bb:6a:11:f5,-98
e6:dd:bb:6a:11:f5,-98
dc:53:60:9e:76:e0,-98
dc:53:60:9e:76:e0,-74
20:3c:ae:d0:c9:2c,-98
20:3c:ae:d0:c9:2c,-96
